Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,38.009998,38.400002,37.750000,38.000000,38.000000,51400
2017-05-02,37.990002,38.389999,37.830002,38.009998,38.009998,125100
2017-05-03,38.119999,38.119999,37.220001,37.860001,37.860001,140000
2017-05-04,38.110001,38.110001,37.770000,38.080002,38.080002,26300
2017-05-05,38.230000,38.250000,37.250000,37.779999,37.779999,65800
2017-05-08,37.470001,37.540001,36.610001,36.880001,36.880001,25200
2017-05-09,37.259998,37.270000,36.299999,36.869999,36.869999,72700
2017-05-10,36.880001,36.880001,36.139999,36.750000,36.750000,28300
2017-05-11,36.520000,36.980000,36.410000,36.700001,36.700001,25500
2017-05-12,36.509998,36.919998,36.029999,36.029999,36.029999,63900
2017-05-15,35.990002,36.560001,35.110001,36.299999,36.299999,56700
2017-05-16,36.110001,37.549999,35.990002,36.180000,36.180000,47300
2017-05-17,35.990002,36.590000,35.570000,36.180000,36.180000,48200
2017-05-18,36.099998,36.500000,36.099998,36.180000,36.180000,25600
2017-05-19,36.410000,36.980000,35.860001,36.560001,36.560001,37300
2017-05-22,36.500000,37.450001,36.240002,36.720001,36.720001,49800
2017-05-23,36.939999,38.480000,36.570000,38.320000,38.320000,91000
2017-05-24,38.150002,39.759998,37.900002,38.509998,38.509998,120600
2017-05-25,38.750000,39.599998,38.610001,39.209999,39.209999,135800
2017-05-26,38.950001,39.279999,38.650002,38.900002,38.900002,83000
2017-05-30,38.599998,39.000000,37.939999,38.520000,38.520000,48000
2017-05-31,38.360001,39.000000,36.520000,37.779999,37.779999,112900
