Date,Open,High,Low,Close,Adj Close,Volume
2017-05-03,139.619995,139.619995,138.190002,138.369995,138.369995,184700
2017-05-04,138.169998,139.970001,138.100006,139.389999,139.389999,310100
2017-05-05,139.639999,141.229996,139.199997,141.070007,141.070007,170200
2017-05-08,141.000000,141.339996,137.729996,138.429993,138.429993,219900
2017-05-09,138.509995,138.800003,136.559998,137.449997,137.449997,324500
2017-05-10,133.190002,134.399994,126.529999,134.059998,134.059998,1051700
2017-05-11,133.229996,135.479996,132.419998,134.389999,134.389999,455600
2017-05-12,134.649994,138.110001,133.869995,134.679993,134.679993,533400
2017-05-15,135.110001,136.589996,134.289993,135.160004,135.160004,412000
2017-05-16,135.009995,135.520004,133.220001,133.250000,133.250000,243300
2017-05-17,131.699997,132.399994,128.449997,128.690002,128.690002,340000
2017-05-18,128.000000,129.000000,127.519997,128.470001,128.470001,587800
2017-05-19,128.639999,129.779999,128.520004,128.690002,128.690002,322100
2017-05-22,129.369995,131.259995,128.889999,131.139999,131.139999,225300
2017-05-23,131.740005,131.740005,127.820000,127.970001,127.970001,416300
2017-05-24,128.070007,128.440002,125.900002,127.480003,127.480003,348900
2017-05-25,127.980003,128.850006,127.269997,128.470001,128.470001,303400
2017-05-26,128.160004,129.080002,127.900002,128.380005,128.380005,233500
2017-05-30,128.240005,128.389999,125.820000,127.029999,127.029999,491400
2017-05-31,127.180000,128.979996,126.910004,128.360001,128.360001,963900
2017-06-01,128.050003,132.009995,127.519997,130.759995,130.759995,470400
2017-06-02,130.470001,132.949997,129.880005,132.100006,132.100006,363900
