Date,Open,High,Low,Close,Adj Close,Volume
5/2/2017,223.460007,225.5,221.5,225.449997,225.449997,2727700
5/3/2017,224.509995,226.190002,223.550003,224.899994,224.899994,1800200
5/4/2017,225.259995,225.860001,221.860001,223.399994,223.399994,1624500
5/5/2017,224.960007,226.490005,224.050003,226.449997,226.449997,2312800
5/8/2017,226.520004,227.100006,223.860001,225.080002,225.080002,1744800
5/9/2017,225.619995,229.399994,224.710007,228.460007,228.460007,1926100
5/10/2017,229.490005,233.419998,228.690002,231.330002,231.330002,2443300
5/11/2017,230.679993,231.850006,228.240005,231.089996,231.089996,1482300
5/12/2017,231.479996,236.050003,230.839996,235.960007,235.960007,2585200
5/15/2017,235.610001,239.899994,235,239.029999,239.029999,2917200
5/16/2017,239.940002,241.289993,238.690002,240.679993,240.679993,1812800
5/17/2017,238,238.970001,231.089996,231.179993,231.179993,3144700
5/18/2017,231.580002,238.619995,227.679993,237.660004,237.660004,3069900
5/19/2017,236.710007,236.990005,232.050003,234.100006,234.100006,3581200
5/22/2017,235.529999,238.979996,234.220001,238.380005,238.380005,2041900
5/23/2017,238.350006,238.929993,235.839996,236.539993,236.539993,1369600
5/24/2017,238.460007,240.009995,236.970001,239.600006,239.600006,1639200
5/25/2017,241.110001,241.559998,238.729996,240.860001,240.860001,1901000
5/26/2017,240.899994,241.600006,238.320007,241.210007,241.210007,1312000
5/30/2017,240.5,241.389999,239,239.820007,239.820007,2936400
5/31/2017,242.520004,242.889999,237.559998,239.479996,239.479996,4483000
6/1/2017,241.600006,241.869995,233.809998,234.589996,234.589996,6052900
